"Partnumber","Description","Qty in Stock" as text,"Qty in Stock","UM","S.O. Qty Open" as text,"S.O. Qty Open","P.O. Qty Open" as text,"P.O. Qty Open","NSN","Alt","MFG","MFG Name","Recommended Vendor","Buy/Make" as text,"Buy/Make","Cond","Consigned" as text,"Consigned","Rev","QA/Inspc" as text,"QA/Inspc","Transport" as text,"Transport","Quarantine" as text,"Quarantine","Category","Type","Lead Time","Range" as text,"Range","Asset Type" as text,"Asset Type","ATA Chapter","Trim Numeric","Punctuation","Schedule B","ECCN","BOM","Image(s)"
"05RD.4687T5",="6005A-T5 Round Bar 15/32""","14,427.000","14427","LB","0.000","0","0.000","0","","","","","","Buy","B","NE","0.000","0","","0.000","0","0.000","0","0.000","0","A","RD","",,"","Raw Material","R","",="0546875",="05RD4687T5","","","",""
"1026RT1.5-.219","1026 Steel Round Tube 1.50"" OD x .219"" Wall","0.000","0","LB","54,000.000","54000","54,000.000","54000","","","","","","Buy","B","NE","0.000","0","","0.000","0","0.000","0","0.000","0","C","RT","",,"","Raw Material","R","",="102615219",="1026RT15219","","","",""
"1026RT1.875-.1875","1026 Steel Round Tube 1.875"" OD x .1875"" Wall","186,989.435","186989.435","LB","367,737.600","367737.6","329,932.800","329932.8","","","","","","Buy","B","NE","0.000","0","","0.000","0","0.000","0","0.000","0","C","RT","",,"","Raw Material","R","",="102618751875",="1026RT18751875","","","",""
"11HX.236T3","2011-T3 CF HEX Bar .236"" (6mm) x 144""","2,040.380","2040.38","LB","0.000","0","0.000","0","","","","","","Buy","B","NE","0.000","0","","0.000","0","0.000","0","0.000","0","A","HX","",,"","Raw Material","R","",="112363",="11HX236T3","","","",""
"11HX.25T3",="2011-T3 CF HEX Bar 1/4"" x 144""","2,326.400","2326.4","LB","0.000","0","0.000","0","","","","","","Buy","B","NE","0.000","0","","0.000","0","0.000","0","0.000","0","A","HX","",,"","Raw Material","R","",="11253",="11HX25T3","","","",""
"11HX.3125T3",="2011-T3 CF HEX Bar 5/16"" x 144""","776.740","776.74","LB","0.000","0","0.000","0","","","","","","Buy","B","NE","0.000","0","","0.000","0","0.000","0","0.000","0","A","HX","",,"","Raw Material","R","",="1131253",="11HX3125T3","","","",""
"11HX.375T3",="2011-T3 CF HEX Bar 3/8"" x 144""","0.000","0","LB","0.000","0","0.000","0","","","","","","Buy","B","NE","0.000","0","","0.000","0","0.000","0","0.000","0","A","HX","",,"","Raw Material","R","",="113753",="11HX375T3","","","",""
"11HX.394T3","2011-T3 CF HEX Bar .394"" X 144""","1,797.000","1797","LB","0.000","0","0.000","0","","","","","","Buy","B","NE","0.000","0","","0.000","0","0.000","0","0.000","0","A","HX","",,"","Raw Material","R","",="113943",="11HX394T3","","","",""
"11HX.4375T3",="2011-T3 CF HEX Bar 7/16"" x 144""","1,322.898","1322.898","LB","0.000","0","0.000","0","","","","","","Buy","B","NE","0.000","0","","0.000","0","0.000","0","0.000","0","A","HX","",,"","Raw Material","R","",="1143753",="11HX4375T3","","","",""
"11HX.5118T3","2011-T3 CF HEX Bar .5118"" X 144""","1,049.400","1049.4","LB","0.000","0","0.000","0","","","","","","Buy","B","NE","0.000","0","","0.000","0","0.000","0","0.000","0","A","HX","",,"","Raw Material","R","",="1151183",="11HX5118T3","","","",""
"11HX.5188T3","2011-T3 CF HEX Bar .5188"" X 144""","0.000","0","LB","0.000","0","0.000","0","","","","","","Buy","B","NE","0.000","0","","0.000","0","0.000","0","0.000","0","A","HX","",,"","Raw Material","R","",="1151883",="11HX5188T3","","","",""
"11HX.5625T3",="2011-T3 CF HEX Bar 9/16 X 144""","2,156.000","2156","LB","0.000","0","0.000","0","","","","","","Buy","B","NE","0.000","0","","0.000","0","0.000","0","0.000","0","A","HX","",,"","Raw Material","R","",="1156253",="11HX5625T3","","","",""
"11HX.5T3",="2011-T3 CF HEX Bar 1/2"" X 144""","9,289.000","9289","LB","0.000","0","0.000","0","","","","","","Buy","B","NE","0.000","0","","0.000","0","0.000","0","0.000","0","A","HX","",,"","Raw Material","R","",="1153",="11HX5T3","","","",""
"11HX.625T3",="2011-T3 CF HEX Bar 5/8"" x 144""","2,179.000","2179","LB","0.000","0","0.000","0","","","","","","Buy","B","NE","0.000","0","","0.000","0","0.000","0","0.000","0","A","HX","",,"","Raw Material","R","",="116253",="11HX625T3","","","",""
"11HX.6875T3",="2011-T3 CF HEX Bar 11/16"" x 144""","2,096.790","2096.79","LB","0.000","0","0.000","0","","","","","","Buy","B","NE","0.000","0","","0.000","0","0.000","0","0.000","0","A","HX","",,"","Raw Material","R","",="1168753",="11HX6875T3","","","",""
