"Partnumber","Description","Qty in Stock" as text,"Qty in Stock","UM","S.O. Qty Open" as text,"S.O. Qty Open","P.O. Qty Open" as text,"P.O. Qty Open","NSN","Alt","MFG","Rev","MFG Name","Recommended Vendor","Buy/Make" as text,"Buy/Make","Cond","Consigned" as text,"Consigned","QA/Inspc" as text,"QA/Inspc","Transport" as text,"Transport","Quarantine" as text,"Quarantine","Category","Type","Lead Time","Range" as text,"Range","Asset Type" as text,"Asset Type","ATA Chapter","Trim Numeric","Punctuation","Schedule B","ECCN","BOM","Image(s)"
"440RD.4375",="440C SS Round Bar 7/16""","0.000","0","LB","0.000","0","0.000","0","","","","","","","Buy","B","NE","0.000","0","0.000","0","0.000","0","0.000","0","S","RD","",,"","Raw Material","R","",="4404375",="440RD4375","","","",""
"440RD.5",="440C-SS Round Bar 1/2""","804.945","804.945","LB","0.000","0","0.000","0","","","","","","","Buy","B","NE","0.000","0","0.000","0","0.000","0","0.000","0","S","RD","",,"","Raw Material","R","",="4405",="440RD5","","","",""
"440RD.625",="440C SS Round Bar 5/8""","40.390","40.39","LB","0.000","0","0.000","0","","","","","","","Buy","B","NE","0.000","0","0.000","0","0.000","0","0.000","0","S","RD","",,"","Raw Material","R","",="440625",="440RD625","","","",""
"440RD.75",="440C SS Round Bar 3/4""","416.389","416.389","LB","0.000","0","0.000","0","","","","","","","Buy","B","NE","0.000","0","0.000","0","0.000","0","0.000","0","S","RD","",,"","Raw Material","R","",="44075",="440RD75","","","",""
"440RD.812",="440C-SS Round Bar 13/16""","997.465","997.465","LB","0.000","0","2,000.000","2000","","","","","","","Buy","B","NE","0.000","0","0.000","0","0.000","0","0.000","0","S","RD","",,"","Raw Material","R","",="440812",="440RD812","","","",""
"440RD.875",="440C SS Round Bar 7/8""","79.542","79.542","LB","0.000","0","0.000","0","","","","","","","Buy","B","NE","0.000","0","0.000","0","0.000","0","0.000","0","S","RD","",,"","Raw Material","R","",="440875",="440RD875","","","",""
="440RD1",="440C-SS Round Bar 1""","566.784","566.784","LB","0.000","0","0.000","0","","","","","","","Buy","B","NE","0.000","0","0.000","0","0.000","0","0.000","0","S","RD","",,"","Raw Material","R","",="4401",="440RD1","","","",""
"440RD1.125",="440C-SS Round Bar 1-1/8""","453.000","453","LB","0.000","0","2,000.000","2000","","","","","","","Buy","B","NE","0.000","0","0.000","0","0.000","0","0.000","0","S","RD","",,"","Raw Material","R","",="4401125",="440RD1125","","","",""
"440RD1.25",="440C-SS Round Bar 1-1/4""","0.000","0","LB","0.000","0","2,000.000","2000","","","","","","","Buy","B","NE","0.000","0","0.000","0","0.000","0","0.000","0","S","RD","",,"","Raw Material","R","",="440125",="440RD125","","","",""
"440RD1.375",="440C SS Round Bar 1-3/8""","592.184","592.184","LB","0.000","0","0.000","0","","","","","","","Buy","B","NE","0.000","0","0.000","0","0.000","0","0.000","0","S","RD","",,"","Raw Material","R","",="4401375",="440RD1375","","","",""
"440RD1.5",="440C-SS Round Bar 1-1/2""","0.000","0","LB","0.000","0","0.000","0","","","","","","","Buy","B","NE","0.000","0","0.000","0","0.000","0","0.000","0","S","RD","",,"","Raw Material","R","",="44015",="440RD15","","","",""
"440RD1.625",="440C SS Round Bar 1-5/8""","287.824","287.824","LB","0.000","0","0.000","0","","","","","","","Buy","B","NE","0.000","0","0.000","0","0.000","0","0.000","0","S","RD","",,"","Raw Material","R","",="4401625",="440RD1625","","","",""
"440RD1.75",="440C-SS Round Bar 1-3/4""","625.518","625.518","LB","0.000","0","0.000","0","","","","","","","Buy","B","NE","0.000","0","0.000","0","0.000","0","0.000","0","S","RD","",,"","Raw Material","R","",="440175",="440RD175","","","",""
="440RD2",="440C SS Round Bar 2""","528.000","528","LB","0.000","0","0.000","0","","","","","","","Buy","B","NE","0.000","0","0.000","0","0.000","0","0.000","0","S","RD","",,"","Raw Material","R","",="4402",="440RD2","","","",""
"440RD2.25",="440C-SS Round Bar 2-1/4""","0.000","0","LB","0.000","0","1.000","1","","","","","","","Buy","B","NE","0.000","0","0.000","0","0.000","0","0.000","0","S","RD","",,"","Raw Material","R","",="440225",="440RD225","","","",""
"440RD5.5",="440C-SS Round Bar 5-1/2""","1,088.991","1088.991","LB","0.000","0","0.000","0","","","","","","","Buy","B","NE","0.000","0","0.000","0","0.000","0","0.000","0","S","RD","",,"","Raw Material","R","",="44055",="440RD55","","","",""
"465RD.1875","CUSTOM 465-SS Round Bar 3/16""","0.000","0","LB","1,624.000","1624","1,624.000","1624","","","","","","","Buy","B","NE","0.000","0","0.000","0","0.000","0","0.000","0","S","RD","",,"","Raw Material","R","",="4651875",="465RD1875","","","",""
"50PL.5T7451-USI","7050-T7451 USI Plate .50""","0.000","0","LB","0.000","0","0.000","0","","","","","","","Buy","B","NE","0.000","0","0.000","0","0.000","0","0.000","0","A","PL","",,"","Raw Material","R","",="5057451",="50PL5T7451USI","","","",""
"50PL1.25T7451-USI-48.5-144.5","7050-T7451 USI Plate 1.25"" x 48.5"" x 144.5""","0.000","0","LB","0.000","0","0.000","0","","","","","","","Buy","B","NE","0.000","0","0.000","0","0.000","0","0.000","0","A","PL","",,"","Raw Material","R","",="5012574514851445",="50PL125T7451USI4851445","","","",""
"50PL1.25T7451-USI-60.5-144.5","7050-T7451 USI Plate 1.25"" x 60.5"" x 144.5""","0.000","0","LB","0.000","0","0.000","0","","","","","","","Buy","B","NE","0.000","0","0.000","0","0.000","0","0.000","0","A","PL","",,"","Raw Material","R","",="5012574516051445",="50PL125T7451USI6051445","","","",""
"50PL1.25-USI","7050-T7451 USI Plate 1.25""","4,410.291","4410.291","LB","0.000","0","0.000","0","","","","","","","Buy","B","NE","0.000","0","0.000","0","0.000","0","0.000","0","A","PL","",,"","Raw Material","R","",="50125",="50PL125USI","","","",""
"50PL1.5T7451-USI","7050-T7451 USI Plate 1.5""","2,013.571","2013.571","LB","0.000","0","0.000","0","","","","","","","Buy","B","NE","0.000","0","0.000","0","0.000","0","0.000","0","A","PL","",,"","Raw Material","R","",="50157451",="50PL15T7451USI","","","",""
"50PL1.5T7451-USI-48.5-144.5","7050-T7451 USI Plate 1.5"" x 48.5"" x 144.5""","4,361.770","4361.77","LB","0.000","0","0.000","0","","","","","","","Buy","B","NE","0.000","0","0.000","0","0.000","0","0.000","0","A","PL","",,"","Raw Material","R","",="501574514851445",="50PL15T7451USI4851445","","","",""
"50PL1.5T7451-USI-60.5-144.5","7050-T7451 USI Plate 1.5"" x 60.5"" x 144.5""","0.000","0","LB","0.000","0","0.000","0","","","","","","","Buy","B","NE","0.000","0","0.000","0","0.000","0","0.000","0","A","PL","",,"","Raw Material","R","",="501574516051445",="50PL15T7451USI6051445","","","",""
